Chapter,Verse,Unformatted Text,Keywords
12,5,The thoughts of the righteous are just the counsels of the wicked are deceitful,"thoughts, righteous, just, counsels, wicked, deceitful"
12,6,The words of the wicked lie in wait for blood but the mouth of the upright delivers them,"words, wicked, lie in wait, blood, mouth, upright, delivers"
12,7,The wicked are overthrown and are no more but the house of the righteous will stand,"wicked, overthrown, no more, house, righteous, stand"
12,8,A man is commended according to his good sense but one of twisted mind is despised,"commended, good sense, twisted mind, despised"
12,9,Better to be lowly and have a servant than to play the great man and lack bread,"lowly, servant, play, great man, lack, bread"
12,10,Whoever is righteous has regard for the life of his beast but the mercy of the wicked is cruel,"righteous, regard, life, beast, mercy, wicked, cruel"
12,11,Whoever works his land will have plenty of bread but he who follows worthless pursuits lacks sense,"works, land, plenty, bread, follows, worthless pursuits, lacks, sense"
12,12,Whoever is wicked covets the spoil of evildoers but the root of the righteous bears fruit,"wicked, covets, spoil, evildoers, root, righteous, bears, fruit"
12,13,An evil man is ensnared by the transgression of his lips but the righteous escapes from trouble,"evil man, ensnared, transgression, lips, righteous, escapes, trouble"
12,14,From the fruit of his mouth a man is satisfied with good and the work of a mans hand comes back to him,"evil man, ensnared, transgression, lips, righteous, escapes, trouble"
12,15,The way of a fool is right in his own eyes but a wise man listens to advice,"way, fool, right, own eyes, wise man, listens, advice"
12,16,The vexation of a fool is known at once but the prudent ignores an insult,"vexation, fool, known at once, prudent, ignores, insult"
12,17,Whoever speaks the truth gives honest evidence but a false witness utters deceit,"speaks, truth, honest evidence, false witness, utters, deceit"
12,18,There is one whose rash words are like sword thrusts but the tongue of the wise brings healing,"rash words, sword thrusts, tongue, wise, brings, healing"
12,19,Truthful lips endure forever but a lying tongue is but for a moment,"truthful lips, endure, forever, lying tongue, moment"
12,20,Deceit is in the heart of those who devise evil but those who plan peace have joy,"deceit, heart, devise, evil, plan, peace, joy"
12,21,No ill befalls the righteous but the wicked are filled with trouble,"ill befalls, righteous, wicked, filled, trouble"
12,22,Lying lips are an abomination to the Lord but those who act faithfully are his delight,"lying lips, abomination, Lord, act, faithfully, delight"
12,23,A prudent man conceals knowledge but the heart of fools proclaims folly,"prudent man, conceals, knowledge, heart, fools, proclaims, folly"
12,24,The hand of the diligent will rule while the slothful will be put to forced labor,"hand, diligent, rule, slothful, forced, labor"
12,25,Anxiety in a mans heart weighs him down but a good word makes him glad,"anxiety, man's heart, weighs down, good word, glad"
12,26,One who is righteous is a guide to his neighbor but the way of the wicked leads them astray,"righteous, guide, neighbor, wicked, leads astray"
12,27,Whoever is slothful will not roast his game but the diligent man will get precious wealth,"slothful, roast, game, diligent man, precious, wealth"
12,28,In the path of righteousness is life and in its pathway there is no death,"path, righteousness, life, pathway, no death"
13,1,A wise son hears his fathers instruction but a scoffer does not listen to rebuke,"wise, son, hears, father's instruction, scoffer, does not listen, rebuke "
13,2,From the fruit of his mouth a man eats what is good but the desire of the treacherous is for violence,"fruit of mouth, man, eats, good, desire, treacherous, violence"
13,3,Whoever guards his mouth preserves his life he who opens wide his lips comes to ruin,"whoever, guards, mouth, preserves, life, opens wide, lips, comes to ruin"
13,4,The soul of the sluggard craves and gets nothing while the soul of the diligent is richly supplied,"soul, sluggard, craves, gets, nothing, soul, diligent, richly supplied "
13,5,The righteous hates falsehood but the wicked brings shame and disgrace,"righteous, hates, falsehood, wicked, brings, shame, disgrace"
13,6,Righteousness guards him whose way is blameless but sin overthrows the wicked,"righteousness, guards, way, blameless, sin, overthrows, wicked"
13,7,One pretends to be rich yet has nothing another pretends to be poor yet has great wealth,"pretends, rich, yet has nothing, pretends, poor, yet has great wealth"
13,8,The ransom of a mans life is his wealth but a poor man hears no threat,"ransom, man's life, wealth, poor man, hears, no threat"
13,9,The light of the righteous rejoices but the lamp of the wicked will be put out,"light, righteous, rejoices, lamp, wicked, put out"
13,10,By insolence comes nothing but strife but with those who take advice is wisdom,"insolence, comes, nothing, strife, take advice, wisdom"
13,11,Wealth gained hastily will dwindle but whoever gathers little by little will increase it,"wealth gained hastily, will dwindle, gathers little by little, increase"
13,12,Hope deferred makes the heart sick but a desire fulfilled is a tree of life,"hope deferred, makes, heart, sick, desire fulfilled, tree of life"
13,13,Whoever despises the word brings destruction on himself but he who reveres the commandment will be rewarded,"despises, word, brings, destruction, himself, reveres, commandment"
13,14,The teaching of the wise is a fountain of life that one may turn away from the snares of death,"teaching of the wise, fountain of life, turn away, snares of death"
13,15,Good sense wins favor but the way of the treacherous is their ruin,"good sense, wins, favor, way, treacherous, ruin"
13,16,Every prudent man acts with knowledge but a fool flaunts his folly,"prudent man, acts, knowledge, fool, flaunts, folly"
13,17,A wicked messenger falls into trouble but a faithful envoy brings healing,"wicked messenger, falls, into trouble, faithful envoy, brings, healing"
13,18,Poverty and disgrace come to him who ignores instruction but whoever heeds reproof is honored,"poverty, disgrace, comes, ignores, instruction, heeds, reproof, honored"
13,19,A desire fulfilled is sweet to the soul but to turn away from evil is an abomination to fools,"desire fulfilled, sweet, soul, turn away from evil, abomination, fools"
13,20,Whoever walks with the wise becomes wise but the companion of fools will suffer harm,"walks with the wise, becomes wise, companion of fools, will suffer harm"
13,21,Disaster pursues sinners but the righteous are rewarded with good,"disaster pursues, sinners, righteous, rewarded with good"
13,22,A good man leaves an inheritance to his childrens children but the sinners wealth is laid up for the just,"good man, leaves, inheritance, children's, sinner's wealth, laid up, just"
13,23,The fallow ground of the poor would yield much food but it is swept away through injustice,"fallow ground, poor, would yield, much food, swept away, through injustice"
13,24,Whoever spares the rod hates his son but he who loves him is diligent to discipline him,"spares the rod, hates, son, loves him, diligent, discipline"
13,25,The righteous has enough to satisfy his appetite but the belly of the wicked suffers want,"righteous, has enough, satisfy, appetite, belly of wicked, suffers want"
14,1,The wisest of women builds her house but folly with her own hands tears it down,"wisest, wise, women, diligence, behaviour"
14,2,Whoever walks in uprightness fears the Lord but he who is devious in his ways despises him,"uprightness, fear, devious"
14,3,By the mouth of a fool comes a rod for his back but the lips of the wise will preserve them,"mouth, fool, lips, wise"
14,4,Where there are no oxen the manger is clean but abundant crops come by the strength of the ox,"abundant, crops, strength, ox"
14,5,A faithful witness does not lie but a false witness breathes out lies,"faithful witness, false witness, lie"
14,6,A scoffer seeks wisdom in vain but knowledge is easy for a man of understanding,"scoffers, wisdom, knowledge, understanding"
14,7,Leave the presence of a fool for there you do not meet words of knowledge,"fool, words of knowledge"
14,8,The wisdom of the prudent is to discern his way but the folly of fools is deceiving,"prudent, folly of fools, deceiving"
14,9,Fools mock at the guilt offering but the upright enjoy acceptance,"mock, guilt offering, upright, acceptance"
14,10,The heart knows its own bitterness and no stranger shares its joy,"heart, bitterness, stranger, joy"
14,11,The house of the wicked will be destroyed but the tent of the upright will flourish,"house of wicked, destroyed, tent of upright, flourish"
14,12,There is a way that seems right to a man but its end is the way to death,"way, end, death"
14,13,Even in laughter the heart may ache and the end of joy may be grief,"laughter, heart, ache, end of joy, grief"
14,14,The backslider in heart will be filled with the fruit of his ways and a good man will be filled with the fruit of his ways,"backslider, filled, fruit, good man"
14,15,The simple believes everything but the prudent gives thought to his steps,"simple, believes, prudent, steps"
14,16,One who is wise is cautious and turns away from evil but a fool is reckless and careless,"wise, cautious, fool, reckless, careless"
14,17,A man of quick temper acts foolishly and a man of evil devices is hated,"man, quick temper, foolishly, evil, hated"
14,18,The simple inherit folly but the prudent are crowned with knowledge,"inherit folly, prudent, crowned with knowledge"
14,19,The evil bow down before the good the wicked at the gates of the righteous,"evil, good, wicked, gates of the righteous"
14,20,The poor is disliked even by his neighbor but the rich has many friends,"poor, neighbor, rich, friends"
14,21,Whoever despises his neighbor is a sinner but blessed is he who is generous to the poor,"despises, neighbor, sinner, blessed, generous, poor"
14,22,Do they not go astray who devise evil Those who devise good meet steadfast love and faithfulness,"astray, devise, good, steadfast love, faithfulness"
14,23,In all toil there is profit but mere talk tends only to poverty,"toil, profit, poverty"
14,24,The crown of the wise is their wealth but the folly of fools brings folly,"crown, wise, wealth, folly, fools"
14,25,A truthful witness saves lives but one who breathes out lies is deceitful,"truthful witness, saves, lies, deceitful"
14,26,In the fear of the Lord one has strong confidence and his children will have a refuge,"fear, Lord, strong confidence, children, refuge"
14,27,The fear of the Lord is a fountain of life that one may turn away from the snares of death,"fear, Lord, fountain of life, snares of death"
14,28,In a multitude of people is the glory of a king but without people a prince is ruined,"multitude, glory, king, people, ruined, prince"
14,29,Whoever is slow to anger has great understanding but he who has a hasty temper exalts folly,"slow, anger, great understanding, hasty temper"
14,30,A tranquil heart gives life to the flesh but envy makes the bones rot,"tranquil heart, life, flesh, envy, bones, rot"
14,31,Whoever oppresses a poor man insults his Maker but he who is generous to the needy honors him,"oppresses, poor, insults, Maker, generous, needy"
14,32,The wicked is overthrown through his evildoing but the righteous finds refuge in his death,"wicked, evildoing, righteous, refuge, death"
14,33,Wisdom rests in the heart of a man of understanding but it makes itself known even in the midst of fools,"wisdom, heart, understanding, midst of fools"
14,34,Righteousness exalts a nation but sin is a reproach to any people,"righteousness, nation, sin, people"
14,35,A servant who deals wisely has the kings favor but his wrath falls on one who acts shamefully,"servant, wisely, favor, wrath, shamefully"
15,1,A soft answer turns away wrath but a harsh word stirs up anger,"answer, wrath, harsh, anger"
15,2,The tongue of the wise commends knowledge but the mouths of fools pour out folly,"wise, knowledge, fools"
15,3,The eyes of the Lord are in every place keeping watch on the evil and the good,"eyes, Lord, watch, evil, good"
15,4,A gentle tongue is a tree of life but perverseness in it breaks the spirit,"life, perverseness, spirit"
15,5,A fool despises his fathers instruction but whoever heeds reproof is prudent,"instruction, reproof,"
15,6,In the house of the righteous there is much treasure but trouble befalls the income of the wicked,"righteous, treasure, trouble"
15,7,The lips of the wise spread knowledge not so the hearts of fools,"wise, knowledge, hearts"
15,8,The sacrifice of the wicked is an abomination to the Lord but the prayer of the upright is acceptable to him,"sacrifice, abomination, Lord, prayer"
15,9,The way of the wicked is an abomination to the Lord but he loves him who pursues righteousness,"loves, pursues, righteousness"
15,10,There is severe discipline for him who forsakes the way whoever hates reproof will die,"discipline, forsakes, hates, die"
15,11,Sheol and Abaddon lie open before the Lord how much more the hearts of the children of man,"Sheol, Abaddon, lie, Lord, children"
15,12,A scoffer does not like to be reproved he will not go to the wise,"scoffer, reproved, wise"
15,13,A glad heart makes a cheerful face but by sorrow of heart the spirit is crushed,"cheerful, sorrow, spirit, crushed"
15,14,The heart of him who has understanding seeks knowledge but the mouths of fools feed on folly,"understanding, knowledge, feed"
15,15,All the days of the afflicted are evil but the cheerful of heart has a continual feast,"days, afflicted, evil, feast"
15,16,Better is a little with the fear of the Lord than great treasure and trouble with it,"little, fear, Lord, treasure, trouble"
15,17,Better is a dinner of herbs where love is than a fattened ox and hatred with it,"dinner, herbs, love, ox, hatred"
15,18,A hot-tempered man stirs up strife,"anger, conflict resolution"
15,19,The way of a sluggard is like a hedge of thorns,"laziness, diligence, upright path"
15,20,A wise son makes a glad father,"wisdom, filial joy, foolishness"
15,21,Folly is a joy to him who lacks sense,"folly, lack of sense, understanding"
15,22,Without counsel plans fail,"wisdom, counsel, success"
15,23,To make an apt answer is a joy to a man,"effective communication, joy"
15,24,The path of life leads upward for the prudent,"prudence, life's direction"
15,25,The Lord tears down the house of the proud but maintains the widows boundaries,"humility, divine justice"
15,26,The thoughts of the wicked are an abomination to the Lord,"wicked thoughts, pure speech"
15,27,Whoever is greedy for unjust gain troubles his own household,"greed, justice, family welfare"
15,28,The heart of the righteous ponders how to answer,"righteous heart, thoughtful response"
15,29,The Lord is far from the wicked,"divine presence, righteousness"
15,30,The light of the eyes rejoices the heart,"joy, positive outlook, good news"
15,31,The ear that listens to life-giving reproof will dwell among the wise,"receptivity, wisdom, correction"
15,32,Whoever ignores instruction despises himself,"instruction, self-disdain, wisdom"
15,33,The fear of the Lord is instruction in wisdom and humility comes before honor,"fear of the Lord, wisdom, humility"
16,1,The plans of the heart belong to man but the answer of the tongue is from the Lord,"plans,heart, tongue,answer,Lord"
16,2,All the ways of a man are pure in his own eyes but the Lord weighs the spirit,"ways, pure, eyes, Lord, weighs, spirit"
16,3,Commit your work to the Lord and your plans will be established,"commit, work, Lord, plans, established"
16,4,The Lord has made everything for its purpose even the wicked for the day of trouble,"Lord, made, everything, purpose, wicked, day of trouble"
16,5,Everyone who is arrogant in heart is an abomination to the Lord be assured he will not go unpunished,"arrogant, heart, abomination, Lord, assured, not go unpunished"
16,6,By steadfast love and faithfulness iniquity is atoned for and by the fear of the Lord one turns away from evil,"steadfast love, faithfulness, iniquity, atoned for, fear of the Lord, turns away from evil"
16,7,When a mans ways please the Lord he makes even his enemies to be at peace with him,"ways, please, Lord, enemies, peace"
16,8,Better is a little with righteousness than great revenues with injustice,"better, little, righteousness, great revenues, injustice"
16,9,The heart of man plans his way but the Lord establishes his steps,"heart, plans, way, Lord, establishes, steps"
16,10,An oracle is on the lips of a king his mouth does not sin in judgment,"oracle, lips, king, mouth, sin, judgment"
16,11,A just balance and scales are the Lords all the weights in the bag are his work,"just balance, scales, Lord, weights, bag, work"
16,12,It is an abomination to kings to do evil for the throne is established by righteousness,"abomination, kings, evil, throne, established, righteousness"
16,13,Righteous lips are the delight of a king and he loves him who speaks what is right,"righteous lips, delight, king, loves, speaks, what is right"
16,14,A kings wrath is a messenger of death and a wise man will appease it,"king's wrath, messenger, death, wise man, appease"
16,15,In the light of a kings face there is life and his favor is like the clouds that bring the spring rain,"light, king's face, life, favor, clouds, spring rain"
16,16,How much better to get wisdom than gold To get understanding is to be chosen rather than silver,"better, wisdom, gold, understanding, chosen, silver"
16,17,The highway of the upright is to depart from evil whoever guards his way preserves his life,"highway, upright, depart from evil, guards, way, preserves, life"
16,18,Pride goes before destruction and a haughty spirit before a fall,"pride, destruction, haughty spirit, fall"
16,19,It is better to be of a lowly spirit with the poor than to divide the spoil with the proud,"better, lowly spirit, poor, divide, spoil, proud"
16,20,Whoever gives thought to the word will discover good and blessed is he who trusts in the Lord,"gives thought, word, discover, good, blessed, trusts, Lord"
16,21,The wise of heart is called discerning and sweetness of speech increases persuasiveness,"wise of heart, discerning, sweetness of speech, increases persuasiveness"
16,22,Good sense is a fountain of life to him who has it but the instruction of fools is folly,"good sense, fountain of life, instruction, fools, folly"
16,23,The heart of the wise makes his speech judicious and adds persuasiveness to his lips,"heart of the wise, speech, judicious, adds persuasiveness, lips"
16,24,Gracious words are like a honeycomb sweetness to the soul and health to the body,"gracious words, honeycomb, sweetness, soul, health, body"
16,25,There is a way that seems right to a man but its end is the way to death,"way, seems right, man, end, way to death"
16,26,A workers appetite works for him his mouth urges him on,"worker's appetite, work, mouth, urges"
16,27,A worthless man plots evil and his speech is like a scorching fire,"worthless man, plots, evil, speech, scorching fire"
16,28,A dishonest man spreads strife and a whisperer separates close friends,"dishonest man, spreads, strife, whisperer, separates, close friends"
16,29,A man of violence entices his neighbor and leads him in a way that is not good,"man of violence, entices, neighbor, leads, way, not good"
16,30,Whoever winks his eyes plans dishonest things he who purses his lips brings evil to pass,"winks, eyes, plans, dishonest things, purses, lips, brings evil to pass"
16,31,Gray hair is a crown of glory it is gained in a righteous life,"gray hair, crown of glory, gained, righteous life"
16,32,Whoever is slow to anger is better than the mighty and he who rules his spirit than he who takes a city,"slow to anger, better than the mighty, rules, spirit, takes a city"
16,33,The lot is cast into the lap but its every decision is from the Lord,"lot, cast, lap, decision, Lord"
17,1,Better is a dry morsel with quiet than a house full of feasting with strife,"morsel, strife"
17,2,A servant who deals wisely will rule over a son who acts shamefully and will share the inheritance as one of the brothers,"servant, inheritance"
17,3,The crucible is for silver and the furnace is for gold and the Lord tests hearts,"crucible, furnace"
17,4,An evildoer listens to wicked lips and a liar gives ear to a mischievous tongue,"evildoer, mischievous"
17,5,Whoever mocks the poor insults his Maker he who is glad at calamity will not go unpunished,"Maker, calamity"
17,6,Grandchildren are the crown of the aged and the glory of children is their fathers,"crown, glory"
17,7,Fine speech is not becoming to a fool still less is false speech to a prince,"fool, prince"
17,8,A bribe is like a magic stone in the eyes of the one who gives it wherever he turns he prospers,"bribe, prospers"
17,9,Whoever covers an offense seeks love but he who repeats a matter separates close friends,"offense, separates"
17,10,A rebuke goes deeper into a man of understanding than a hundred blows into a fool,"rebuke, blows"
17,11,An evil man seeks only rebellion and a cruel messenger will be sent against him,"rebellion, cruel"
17,12,Let a man meet a she bear robbed of her cubs rather than a fool in his folly,"she-bear, folly"
17,13,If anyone returns evil for good evil will not depart from his house,"returns, depart"
17,14,The beginning of strife is like letting out water so quit before the quarrel breaks out,"beginning, quarrel"
17,15,He who justifies the wicked and he who condemns the righteous are both alike an abomination to the Lord,"wicked, abomination"
17,16,Why should a fool have money in his hand to buy wisdom when he has no sense,"money, wisdom"
17,17,A friend loves at all times and a brother is born for adversity,"loves, adversity"
17,18,One who lacks sense gives a pledge and puts up security in the presence of his neighbor,"pledge, security"
17,19,Whoever loves transgression loves strife he who makes his door high seeks destruction,"transgression, destruction"
17,20,A man of crooked heart does not discover good and one with a dishonest tongue falls into calamity,"crooked, tongue"
17,21,He who sires a fool gets himself sorrow and the father of a fool has no joy,"sires, joy"
17,22,A joyful heart is good medicine but a crushed spirit dries up the bones,"medicine, spirit"
17,23,The wicked accepts a bribe in secret to pervert the ways of justice,"pervert, justice"
17,24,The discerning sets his face toward wisdom but the eyes of a fool are on the ends of the earth,"discerning, eyes"
17,25,A foolish son is a grief to his father and bitterness to her who bore him,"grief, bitterness"
17,26,To impose a fine on a righteous man is not good nor to strike the noble for their uprightness,"righteous, uprightness "
17,27,Whoever restrains his words has knowledge and he who has a cool spirit is a man of understanding,"restrain, understanding"
17,28,Even a fool who keeps silent is considered wise when he closes his lips he is deemed intelligent,"silent, intelligent"
18,1,Whoever isolates himself seeks his own desire he breaks out against all sound judgment,"desire, judgment"
18,2,A fool takes no pleasure in understanding but only in expressing his opinion,"pleasure, understanding"
18,3,When wickedness comes contempt comes also and with dishonor comes disgrace,"wickedness, dishonor"
18,4,The words of a mans mouth are deep waters the fountain of wisdom is a bubbling brook,"wisdom, fountain"
18,5,It is not good to be partial to the wicked or to deprive the righteous of justice,"wicked, justice"
18,6,A fools lips walk into a fight and his mouth invites a beating,beating
18,7,A fools mouth is his ruin and his lips are a snare to his soul,"snare, soul"
18,8,The words of a whisperer are like delicious morsels they go down into the inner parts of the body,"morsels, body"
18,9,Whoever is slack in his work is a brother to him who destroys,"brother, destroy"
18,10,The name of the Lord is a strong tower the righteous man runs into it and is safe,"tower, righteous"
18,11,A rich mans wealth is his strong city and like a high wall in his imagination,"wealth, imagination"
18,12,Before destruction a mans heart is haughty but humility comes before honor,"haughty, humility"
18,13,If one gives an answer before he hears it is his folly and shame,"shame, folly"
18,14,A mans spirit will endure sickness but a crushed spirit who can bear,"sickness, spirit"
18,15,An intelligent heart acquires knowledge and the ear of the wise seeks knowledge,"intellegent, knowledge"
18,16,A mans gift makes room for him and brings him before the great,"gift, great"
18,17,The one who states his case first seems right until the other comes and examines him,"right, examines"
18,18,The lot puts an end to quarrels and decides between powerful contenders,"quarrels, contenders"
18,19,A brother offended is more unyielding than a strong city and quarreling is like the bars of a castle,"unyielding, quarreling"
18,20,From the fruit of a mans mouth his stomach is satisfied he is satisfied by the yield of his lips,"stomach, satisfied"
18,21,Death and life are in the power of the tongue and those who love it will eat its fruits,"death, tounge"
18,22,He who finds a wife finds a good thing and obtains favor from the Lord,"wife, favor"
18,23,The poor use entreaties but the rich answer roughly,"poor, rich"
18,24,A man of many companions may come to ruin but there is a friend who sticks closer than a brother,"ruin, friend"
19,1,Better is a poor person who walks in his integrity than one who is crooked in speech and is a fool,"poor, integrity"
19,2,Desire without knowledge is not good and whoever makes haste with his feet misses his way,"desire, knowledge, haste, feet"
19,3,When a mans folly brings his way to ruin his heart rages against the Lord,"folly, ruin, heart, rage, Lord"
19,4,Wealth brings many new friends but a poor man is deserted by his friend,"wealth, friends, poor, deserted, friend"
19,5,A false witness will not go unpunished and he who breathes out lies will not escape,"false witness, punished, lies, escape"
19,6,Many seek the favor of a generous man and everyone is a friend to a man who gives gifts,"seek, favor, generous man, friend, gives gifts"
19,7,All a poor mans brothers hate himhow much more do his friends go far from himHe pursues them with words but does not have them,"poor, brothers, hate, friends, far from, pursues, words"
19,8,Whoever gets sense loves his own soulhe who keeps understanding will discover good,"sense, loves, soul, keeps understanding, discover, good"
19,9,A false witness will not go unpunished and he who breathes out lies will perish,"false witness, punished, lies, perish"
19,10,It is not fitting for a fool to live in luxury much less for a slave to rule over princes,"fool, luxury, slave, rule, princes"
19,11,Good sense makes one slow to anger and it is his glory to overlook an offense,"good sense, slow to anger, glory, overlook, offense"
19,12,A kings wrath is like the growling of a lion but his favor is like dew on the grass,"king's wrath, growling, lion, favor, dew, grass"
19,13,A foolish son is ruin to his father and a wifes quarreling is a continual dripping of rain,"foolish son, ruin, father, wife's quarreling, continual dripping, rain"
19,14,House and wealth are inherited from fathers but a prudent wife is from the Lord,"house, wealth, inherited, fathers, prudent wife, Lord"
19,15,Slothfulness casts into a deep sleep and an idle person will suffer hunger,"slothfulness, deep sleep, idle person, suffer hunger"
19,16,Whoever keeps the commandment keeps his lifehe who despises his ways will die,"keeps commandment, keeps life, despises ways, die"
19,17,Whoever is generous to the poor lends to the Lord and he will repay him for his deed,"generous, poor, lends, Lord, repay, deed"
19,18,Discipline your son for there is hopedo not set your heart on putting him to death,"discipline, son, hope, set heart, putting to death"
19,19,A man of great wrath will pay the penalty for if you deliver him you will only have to do it again,"great wrath, pay penalty, deliver, again"
19,20,Listen to advice and accept instruction that you may gain wisdom in the future,"listen, advice, accept, instruction, gain wisdom, future"
19,21,Many are the plans in the mind of a man but it is the purpose of the Lord that will stand,"many plans, mind of man, purpose of the Lord, stand"
19,22,What is desired in a man is steadfast love and a poor man is better than a liar,"desired in man, steadfast love, poor man, better than, liar"
19,23,The fear of the Lord leads to life and whoever has it rests satisfiedhe will not be visited by harm,"fear of the Lord, leads to life, has it, rests satisfied, not visited by harm"
19,24,The sluggard buries his hand in the dish and will not even bring it back to his mouth,"sluggard, buries hand, dish, will not bring back to mouth"
19,25,Strike a scoffer and the simple will learn prudence reprove a man of understanding and he will gain knowledge,"strike scoffer, simple will learn, reprove, man of understanding, gain knowledge"
19,26,He who does violence to his father and chases away his mother is a son who brings shame and reproach,"violence to father, chases away mother, son, brings shame, reproach"
19,27,Cease to hear instruction my son and you will stray from the words of knowledge,"cease to hear instruction, son, stray from words of knowledge"
19,28,A worthless witness mocks at justice and the mouth of the wicked devours iniquity,"worthless witness, mocks at justice, mouth of wicked, devours iniquity"
19,29,Condemnation is ready for scoffers and beating for the backs of fools,"condemnation, ready for scoffers, beating, backs of fools"
20,1,Wine is a mocker strong drink a brawler and whoever is led astray by it is not wise,"astray, brawler, drink, mocker, strong, whoever, wise"
20,2,The terror of a king is like the growling of a lion whoever provokes him to anger forfeits his life,"anger, forfeits, growling, king, life, lion, provokes, terror"
20,3,It is an honor for a man to keep aloof from strife but every fool will be quarreling,"aloof, every, fool, honor, keep, man, quarreling, strife"
20,4,The sluggard does not plow in the autumn he will seek at harvest and have nothing,"autumn, does, harvest, have, nothing, plow, seek, sluggard"
20,5,The purpose in a mans heart is like deep water but a man of understanding will draw it out,"deep, draw, heart, like, man's, out, purpose, understanding, water"
20,6,Many a man proclaims his own steadfast love but a faithful man who can find,"faithful, find, love, man, many, proclaims, steadfast"
20,7,The righteous who walks in his integrity blessed are his children after him,"after, blessed, children, him, integrity, righteous, walks, who"
20,8,A king who sits on the throne of judgment winnows all evil with his eyes,"evil, eyes, judgment, king, sits, throne, winnows"
20,9,Who can say I have made my heart pure I am clean from my sin,"clean, from, have, heart, made, pure, say, sin"
20,10,Unequal weights and unequal measures are both alike an abomination to the Lord,"abomination, alike, both, lord, measures, unequal, weights"
20,11,Even a child makes himself known by his acts by whether his conduct is pure and upright,"acts, child, conduct, even, himself, known, makes, pure, upright, whether"
20,12,The hearing ear and the seeing eye the Lord has made them both,"both, ear, eye, hearing, lord, made, seeing, them"
20,13,Love not sleep lest you come to poverty open your eyes and you will have plenty of bread,"bread, come, eyes, have, lest, love, open, plenty, poverty, sleep"
20,14,Bad bad says the buyer but when he goes away then he boasts,"away, bad, boasts, buyer, goes, says, then"
20,15,There is gold and abundance of costly stones but the lips of knowledge are a precious jewel,"abundance, costly, gold, jewel, knowledge, lips, precious, stones"
20,16,Take a mans garment when he has put up security for a stranger and hold it in pledge when he puts up security for foreigners,"foreigners, garment, hold, man's, pledge, puts, security, stranger, take"
20,17,Bread gained by deceit is sweet to a man but afterward his mouth will be full of gravel,"afterward, bread, deceit, full, gained, gravel, man, mouth, sweet"
20,18,Plans are established by counsel by wise guidance wage war,"counsel, established, guidance, plans, wage, war, wise"
20,19,Whoever goes about slandering reveals secrets therefore do not associate with a simple babbler,"about, associate, babbler, goes, reveals, secrets, simple, slandering, whoever"
20,20,If one curses his father or his mother his lamp will be put out in utter darkness,"curses, darkness, father, lamp, mother, one, out, put, utter"
20,21,An inheritance gained hastily in the beginning will not be blessed in the end,"beginning, blessed, end, gained, hastily, inheritance"
20,22,Do not say I will repay evil wait for the Lord and he will deliver you,"deliver, evil, lord, repay, say, wait, will, you"
20,23,Unequal weights are an abomination to the Lord and false scales are not good,"abomination, false, good, lord, scales, unequal, weights"
20,24,A mans steps are from the Lord how then can man understand his way,"from, lord, man's, steps, then, understand, way"
20,25,It is a snare to say rashly It is holy and to reflect only after making vows,"after, holy, making, only, rashly, reflect, snare, vows"
20,26,A wise king winnows the wicked and drives the wheel over them,"drives, king, over, them, wheel, wicked, winnows, wise"
20,27,The spirit of man is the lamp of the Lord searching all his innermost parts,"innermost, lamp, lord, man, parts, searching, spirit"
20,28,Steadfast love and faithfulness preserve the king and by steadfast love his throne is upheld,"faithfulness, king, love, preserve, steadfast, throne, upheld"
20,29,The glory of young men is their strength but the splendor of old men is their gray hair,"glory, gray, hair, men, old, splendor, strength, their, young"
20,30,Blows that wound cleanse away evil strokes make clean the innermost parts,"away, blows, clean, cleanse, evil, innermost, make, parts, strokes, wound"
21,1,The kings heart is a stream of water in the hand of the Lord he turns it wherever he will,"heart, hand"
21,2,Every way of a man is right in his own eyes but the Lord weighs the heart,"own, heart"
21,3,To do righteousness and justice is more acceptable to the Lord than sacrifice,"righteousness, justice, sacrifice"
21,4,Haughty eyes and a proud heart the lamp of the wicked are sin,"proud, wicked, sin"
21,5,The plans of the diligent lead surely to abundance but everyone who is hasty comes only to poverty,"diligent, abundance, poverty"
21,6,The getting of treasures by a lying tongue is a fleeting vapor and a snare of death,"treasures, lying, death"
21,7,The violence of the wicked will sweep them away because they refuse to do what is just,"violence, wicked"
21,8,The way of the guilty is crooked but the conduct of the pure is upright,"guilty, upright, "
21,9,It is better to live in a corner of the housetop than in a house shared with a quarrelsome wife,quarrelsome
21,10,The soul of the wicked desires evil his neighbor finds no mercy in his eyes,"soul, desire, mercy"
21,11,When a scoffer is punished the simple becomes wise when a wise man is instructed he gains knowledge,"punished, wise, knowledge"
21,12,The Righteous One observes the house of the wicked he throws the wicked down to ruin,"righteous, wicked, ruin"
21,13,Whoever closes his ear to the cry of the poor will himself call out and not be answered,"poor, answered"
21,14,A gift in secret averts anger and a concealed bribe strong wrath,"anger, bribe, wrath"
21,15,When justice is done it is a joy to the righteous but terror to evildoers,"justice, righteous, evildoers"
21,16,One who wanders from the way of good sense will rest in the assembly of the dead,"wanders, dead"
21,17,Whoever loves pleasure will be a poor man he who loves wine and oil will not be rich," pleasure, poor, rich"
21,18,The wicked is a ransom for the righteous and the traitor for the upright,"wicked, righteous, traitor"
21,19,It is better to live in a desert land than with a quarrelsome and fretful woman,"desert, quarrelsome"
21,20,Precious treasure and oil are in a wise mans dwelling but a foolish man devours it,"wise, foolish"
